Idioma,Age:,Education:,Country,Do you have experience or work with GIS (Geographic Information System)?,What is your level of fluency in English:,"Active mappers are those who make changes to the platform at least 42 days a year. Do you consider yourself an active mapper? (If you have any questions, you can check at https://hdyc.neis-one.org/).",How long have you been involved in the OSM community?,How often do you visit and use OSM.org?,How did you learn about OpenStreetMap:,What do you use OSM data for?,What is your main involvement with OpenStreetMap?,I use OSM.org...,How often do you use GPS navigation apps?,Which of these definitions do you think best describes OSM?,How often do you write a note in OSM?,How often do you use notes to map or close them in OSM?,Do you use tools to export OSM data?,How often do you use export tools?,Which of these GPS navigation apps do you use most in your day-to-day life?,What formats do you usually download map data in:,Which of these export tools do you use most often?,General,Search (Nominatim),Historic and Changeset,Login,Notes,Profile,Messages,Diary,Settings,Navigation and routing in OSM.org,Help tab,About tab,Export directly in OSM.org,Carto (Default view),GPS Tracks,Search results (Nominatim):,Viewing the search results:,History:,Visualization of the Changest:,Navigating the OpenStreetMap website:,Tags:,Get information about POIs (Point of Interest):,Communication and finding the mappers on the website:,Corporate and bot profiles should be easy to recognize:,would like to see statistics on my profile and other users:,"Other open address data sources (e.g., OpenAddress) could be integrated into the search bar."
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Luxembourg,Working with GIS,Advanced,Yes,More than 10 years,More than once a day,Through a friend or family member,I use it for navigation/GPS,Hobbyist/community,To edit;To see the rendered data;To check the history of edits and comments,2 times per week,Geographic database,1 time a month,1 time a week,Yes,1 time a month,Garmin device,Shapefile;GeoJSON / JSON / XML,Directly in OSM.org;Overpass Turbo;BBBike,2,2,2,,4,1,3,2,4,2,2,3,4,4,1,Imprecise,Very confusing,Neutral - Neither confusing nor clear,Confusing,Simple,Simple,Complicated,Very complicated,Neither agree nor disagree,More or less disagree,Neither agree nor disagree
Italiano,35-44 years old,Master's Degree,Italy,I have no experience with GIS or work,Intermediary,Yes,More than 10 years,1 time a week,"News (Jornal, Blog etc.)",Contribuire ad osm,Humanitarian;Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,1 time per day,Geographic database,1 time a month,1 time a month,No,,Google Maps,,,4,1,1,5,3,1,1,2,1,3,1,1,1,5,3,Very imprecise,Confusing,Confusing,Very confusing,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Very Complicated,Very complicated,Strongly agree,Strongly agree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Belgium,Working with GIS,Native,Yes,Less than 1 year,1 time per day,Application that uses OSM data,I use it for work;I use it for navigation/GPS,Hobbyist/community;Government,To see the rendered data;To check the history of edits and comments;To edit,1 time a week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,I can't remember or I don't use it,Waze;OSMAnd,Shapefile;GeoJSON / JSON / XML,Overpass Turbo;APIs and/or Plugins,5,3,4,5,3,3,4,3,5,3,5,5,2,5,3,Precise,Confusing,Neutral - Neither confusing nor clear,Clear,Very Simple,Simple,Neutral - Neither complicated nor simple,Simple,Strongly agree,More or less agree,More or less agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Greece,I have little or no experience with GIS,Native,Yes,Less than 1 year,2 times per week,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To edit;To see the rendered data;To check the history of edits and comments,More than once a day,Collaborative map,1 time a week,1 time a week,No,,Google Maps;OSMAnd,,,4,3,5,5,5,5,4,4,5,5,5,5,4,4,5,Neutral - Neither imprecise nor precise,Confusing,Very clear,Clear,Simple,Neutral - Neither complicated nor simple,Complicated,Simple,More or less agree,Strongly agree,Strongly agree
English (United Kingdom)‎,25-34 years old,High School,Malaysia,I have little or no experience with GIS,Advanced,Yes,5 to 10 years,2 times per week,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;Read diary entries,1 time a week,Geographic database,1 time a month,1 time a month,No,,Google Maps;OSMAnd,,,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,Neither agree nor disagree
Italiano,25-34 years old,Undergraduate or Bachelor's degree,Italy,I have little or no experience with GIS,Intermediary,Yes,5 to 10 years,1 time per day,Through a friend or family member,I use it for navigation/GPS,Humanitarian;Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time a month,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,OSMAnd;Google Maps,,,4,3,3,5,4,4,3,4,4,4,4,4,4,4,4,Neutral - Neither imprecise nor precise,Clear,Clear,Confusing,Simple,Neutral - Neither complicated nor simple,Complicated,Complicated,Neither agree nor disagree,Strongly agree,Strongly agree
English (United Kingdom)‎,45-54 years old,Doctorate/PhD,Italy,Working with GIS,Advanced,Yes,More than 10 years,1 time per day,Through a friend or family member,"I use it for navigation/GPS;I use it academically (school or college);For other urban, local, environmental, participatory purposes",Humanitarian;Corporate (work);Hobbyist/community,To check the history of edits and comments;To see the rendered data,More than once a day,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a week,Waze;OSMAnd,.OSM / .PBF;GeoJSON / JSON / XML;Geopackage,Overpass Turbo;APIs and/or Plugins;Estratti OpenStreetMap Italia https://osmit-estratti.wmcloud.org/,4,3,3,5,3,3,4,3,4,3,5,4,4,4,3,Imprecise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Clear,Simple,Simple,Neutral - Neither complicated nor simple,Complicated,Strongly agree,Strongly agree,More or less agree
Português (Brasil)‎,18-24 years old,Undergraduate or Bachelor's degree,Brazil,I have no experience with GIS or work,Intermediary,No,Less than 1 year,I can't remember or I don't use it,Web Search,I use it for navigation/GPS,Hobbyist/community,"Nenhuma das anteriores. Antes eu via comi uma forma de me ""degooglar"". Mas não deu muito certo.",1 time per day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps,,,3,4,4,4,4,3,3,3,3,3,4,4,4,3,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Clear,Neutral - Neither confusing nor clear,Complicated,Neutral - Neither complicated nor simple,Complicated,Complicated,More or less agree,Strongly disagree,Strongly agree
"Español (España, alfabetización internacional)",35-44 years old,Master's Degree,Spain,I have little or no experience with GIS,Advanced,Yes,More than 10 years,2 times per week,Application that uses OSM data,I use it for navigation/GPS;I use it for work,Hobbyist/community,To edit;Add and edit Notes;To see the rendered data,1 time a week,Collaborative map,1 time per day,1 time per day,Yes,1 time a month,Organic Maps;Maps.me;OSMAnd,GeoJSON / JSON / XML;JPG / PNG,Overpass Turbo,5,4,4,5,5,5,5,3,5,4,5,5,4,5,3,Precise,Neutral - Neither confusing nor clear,Clear,Very Clear,Simple,Very Simple,Very Simple,Complicated,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
"Español (España, alfabetización internacional)",18-24 years old,Undergraduate or Bachelor's degree,Spain,I have no experience with GIS or work,Advanced,Yes,1 to 5 years,More than once a day,Web Search,I use it for navigation/GPS;I use it academically (school or college),Hobbyist/community,To check the history of edits and comments;To upload GPS traces;To edit,More than once a day,Geographic database,1 time a week,2 times per week,No,,Google Maps,,,5,3,5,5,4,4,5,4,4,4,3,4,4,5,5,Precise,Clear,Clear,Clear,Simple,Simple,Simple,Simple,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,35-44 years old,Master's Degree,Colombia,Working with GIS,Advanced,Yes,1 to 5 years,1 time per day,Work,I use it for navigation/GPS;I use it for work;I use it academically (school or college),Corporate (work),To upload GPS traces;Add and edit Notes;To edit,1 time a month,Geographic database,1 time a month,1 time a month,Yes,2 times per week,OSMAnd;Organic Maps,GeoJSON / JSON / XML;Shapefile,HOT Export Tool;Overpass Turbo,2,2,2,5,4,4,4,4,4,3,4,4,3,4,2,Imprecise,Confusing,Confusing,Neutral - Neither confusing nor clear,Complicated,Simple,Simple,Simple,More or less agree,More or less agree,More or less agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Belgium,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,2 times per week,I don't remember,I use it for navigation/GPS;I use it academically (school or college),Hobbyist/community,"To check the history of edits and comments;To see the rendered data;Could only select max three options, however I want to pick: 'To see the rendered data', 'To check the history of edits and comments', 'to edit', 'To add and edit Notes'.",1 time a week,Collaborative map,1 time a month,1 time a month,No,,OSMAnd;Magic Earth;Google Maps,,,4,2,4,5,4,4,4,3,4,3,,,,3,3,Precise,Confusing,Clear,Confusing,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Complicated,Simple,More or less agree,Neither agree nor disagree,Strongly agree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,United States,Working with GIS,Native,Yes,5 to 10 years,More than once a day,Web Search,I use it for navigation/GPS;I use it for work,Government;Dev;Hobbyist/community,To see the rendered data;To edit;To check the history of edits and comments,1 time a week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time per day,Organic Maps;OSMAnd,GeoJSON / JSON / XML;.OSM / .PBF,GeoFabrik;Overpass Turbo,4,4,5,5,3,4,3,3,4,4,4,4,3,3,4,Precise,Clear,Very clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,More or less agree
Français (France),25-34 years old,Master's Degree,Cameroon,Working with GIS,Intermediary,Yes,1 to 5 years,1 time per day,Event or speech,I use it for work;I use it for navigation/GPS,Corporate (work);YouthMappers;Hobbyist/community,To see the rendered data;To edit;To check the history of edits and comments,More than once a day,Collaborative map,1 time a month,1 time a month,Yes,1 time per day,OSMAnd,GeoJSON / JSON / XML;Shapefile;.OSM / .PBF,Overpass Turbo;Directly in OSM.org;HOT Export Tool,4,4,4,4,3,3,4,3,3,3,3,3,4,4,3,Imprecise,Clear,Clear,Clear,Simple,Simple,Neutral - Neither complicated nor simple,Simple,More or less agree,More or less agree,Strongly agree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Belgium,Working with GIS,Intermediary,Yes,1 to 5 years,More than once a day,Work,I use it for navigation/GPS;I use it for work,Hobbyist/community;Corporate (work),To see the rendered data;To check the history of edits and comments;To edit,2 times per week,Collaborative map,1 time per day,1 time per day,Yes,1 time a week,OSMAnd,Shapefile,Overpass Turbo,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4,Neutral - Neither imprecise nor precise,Confusing,Very clear,Confusing,Complicated,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Very complicated,Strongly agree,Strongly agree,Strongly agree
Français (France),18-24 years old,Master's Degree,Cameroon,I am a GIS student,Intermediary,Yes,1 to 5 years,2 times per week,Event or speech,I use it for navigation/GPS;I use it for work;I use it academically (school or college);Avoir des données géographiques,Humanitarian;Hobbyist/community;Corporate (work),To edit;To see the rendered data;To check the history of edits and comments,1 time a month,Collaborative map,1 time a month,I can't remember or I don't use it,Yes,1 time a week,Waze;Google Maps;OSMAnd;StreetComplete,GeoJSON / JSON / XML;.OSM / .PBF;Shapefile,Overpass Turbo;GeoFabrik;APIs and/or Plugins,5,4,4,5,4,5,4,4,4,4,,,4,4,3,Precise,Clear,Clear,Clear,Simple,Neutral - Neither complicated nor simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,Neither agree nor disagree,More or less agree
"Español (España, alfabetización internacional)",35-44 years old,Undergraduate or Bachelor's degree,Guatemala,Working with GIS,Advanced,No,1 to 5 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS;I use it for work;I use it academically (school or college),Humanitarian;Government,To upload GPS traces;To edit;To see the rendered data,More than once a day,Collaborative map,1 time a month,1 time a month,Yes,1 time a week,OSMAnd;Google Maps,Shapefile;GeoJSON / JSON / XML,APIs and/or Plugins,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,Neutral - Neither imprecise nor precise,Clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,25-34 years old,Master's Degree,Italy,Working with GIS,Advanced,Yes,5 to 10 years,1 time per day,Event or speech,I use it for work,Humanitarian;Hobbyist/community,To check the history of edits and comments;To edit;Read diary entries,More than once a day,Wikipedia of maps,1 time a week,1 time a month,Yes,1 time per day,Organic Maps,.OSM / .PBF;GeoJSON / JSON / XML,Directly in OSM.org;GeoFabrik;Overpass Turbo,4,2,5,5,5,4,4,5,5,3,4,4,5,5,3,Neutral - Neither imprecise nor precise,Clear,Very clear,Very Clear,Very Simple,Very Simple,Simple,Simple,Strongly agree,Neither agree nor disagree,Strongly agree
English (United Kingdom)‎,45-54 years old,Undergraduate or Bachelor's degree,Uganda,Working with GIS,Advanced,Yes,5 to 10 years,More than once a day,"News (Jornal, Blog etc.)",I use it for work,Dev;Hobbyist/community;Corporate (work),To edit;Read diary entries;To check the history of edits and comments,More than once a day,Collaborative map,1 time a month,1 time a month,Yes,1 time a month,OSMAnd;Google Maps,GeoJSON / JSON / XML;Shapefile,APIs and/or Plugins;Overpass Turbo,3,3,3,3,3,4,3,1,4,3,3,,3,3,2,Neutral - Neither imprecise nor precise,Clear,Clear,Clear,Simple,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neither agree nor disagree,More or less agree,More or less agree
Français (France),18-24 years old,Master's Degree,Cameroon,I am a GIS student,Intermediary,No,Less than 1 year,More than once a day,Work,I use it academically (school or college),Corporate (work);YouthMappers,Add and edit Notes;To see the rendered data,I can't remember or I don't use it,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a week,Google Maps,Shapefile,Directly in OSM.org,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,,Simple,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,More or less agree,Neither agree nor disagree,More or less agree
Français (France),18-24 years old,Undergraduate or Bachelor's degree,Cameroon,I am a GIS student,Basic,Yes,1 to 5 years,1 time a month ,Through a friend or family member,I use it academically (school or college),Corporate (work),To see the rendered data,I can't remember or I don't use it,Geographic database,1 time a month,1 time a month,No,,Google Maps,,,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Clear,Clear,Simple,Simple,Complicated,Simple,More or less disagree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,Ghana,Working with GIS,Advanced,Yes,5 to 10 years,1 time a month ,YouthMappers,I use it for navigation/GPS;I use it for work,Humanitarian;YouthMappers;Hobbyist/community,To upload GPS traces;To edit;Read diary entries,More than once a day,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,OSMAnd,Shapefile,GeoFabrik;HOT Export Tool,4,3,3,4,2,3,3,3,3,4,3,3,3,,4,Precise,Clear,Clear,Clear,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
Deutsch,35-44 years old,Doctorate/PhD,Germany,Working with GIS,Advanced,Yes,More than 10 years,1 time per day,Work,I use it for navigation/GPS;I use it for work;I use it academically (school or college),Corporate (work);Dev;Hobbyist/community,To edit;To see the rendered data,2 times per week,Wikipedia of maps,1 time a month,1 time a month,Yes,1 time a month,OSMAnd;Magic Earth;Google Maps;HERE wego,GeoJSON / JSON / XML;.OSM / .PBF,Directly in OSM.org;Overpass Turbo;GeoFabrik,4,4,4,4,4,4,4,3,4,3,3,,,4,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Clear,Clear,Simple,Simple,Simple,Neutral - Neither complicated nor simple,More or less agree,More or less agree,More or less agree
English (United Kingdom)‎,45-54 years old,Master's Degree,Mexico,I have little or no experience with GIS,Advanced,Yes,More than 10 years,More than once a day,Web Search,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To upload GPS traces;To edit,More than once a day,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a week,OSMAnd;My own maps created for Garmin GPS,.OSM / .PBF;.obf,BBBike;Overpass Turbo,4,,2,5,2,5,5,4,5,2,5,,,,3,,,Confusing,Confusing,Simple,Simple,Simple,Complicated,More or less agree,More or less disagree,Neither agree nor disagree
English (United Kingdom)‎,45-54 years old,Master's Degree,United Kingdom,Working with GIS,Advanced,Yes,5 to 10 years,1 time a month ,Web Search,I use it for navigation/GPS,Humanitarian,To see the rendered data,1 time a month,Geographic database,1 time a month,1 time a month,Yes,1 time a month,Google Maps,Shapefile,HOT Export Tool,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Precise,Clear,Clear,Clear,Simple,Simple,Simple,Simple,More or less agree,Strongly agree,Strongly agree
English (United Kingdom)‎,18-24 years old,Master's Degree,Belgium,I have little or no experience with GIS,Advanced,Yes,5 to 10 years,More than once a day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;Add and edit Notes,1 time a week,Geographic database,1 time a month,2 times per week,No,,OSMAnd;Google Maps,,,4,3,4,5,5,4,5,5,4,3,4,5,5,4,4,Precise,Clear,Very clear,Neutral - Neither confusing nor clear,Simple,Simple,Simple,Complicated,Strongly agree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,25-34 years old,High School,Germany,I have no experience with GIS or work,Advanced,No,1 to 5 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,1 time per day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,OSMAnd,,,5,4,4,5,,3,,,4,4,,,,5,,Neutral - Neither imprecise nor precise,Clear,Clear,Neutral - Neither confusing nor clear,Simple,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neither agree nor disagree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,65 years old or older,Master's Degree,South Africa,Working with GIS,Native,Yes,More than 10 years,More than once a day,Web Search,I don't use it.,Hobbyist/community,To edit,2 times per week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps,,,4,3,1,5,1,5,3,1,3,4,2,5,4,4,2,Precise,Clear,Confusing,Confusing,Complicated,Complicated,Neutral - Neither complicated nor simple,Very complicated,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,35-44 years old,High School,Belgium,I have no experience with GIS or work,Intermediary,Yes,1 to 5 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To edit;Add and edit Notes;To check the history of edits and comments,1 time per day,Geographic database,1 time a month,1 time a month,No,,OSMAnd;Komoot,,,5,1,5,5,4,3,2,1,4,2,2,2,3,3,3,Imprecise,Neutral - Neither confusing nor clear,Clear,Very confusing,Simple,Neutral - Neither complicated nor simple,Complicated,Very complicated,Strongly agree,More or less agree,Strongly agree
Français (France),25-34 years old,Master's Degree,Cameroon,I am a GIS student,Basic,Yes,Less than 1 year,1 time per day,Event or speech,I use it academically (school or college),Humanitarian;YouthMappers,Add and edit Notes,1 time a month,Geographic database,I can't remember or I don't use it,1 time a month,Yes,2 times per week,OSMAnd,GeoJSON / JSON / XML,Directly in OSM.org,3,3,3,4,3,4,2,3,4,2,2,3,4,3,3,Very imprecise,Clear,Clear,Clear,Simple,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Neither agree nor disagree
Português (Brasil)‎,25-34 years old,High School,Brazil,I have no experience with GIS or work,Basic,No,Less than 1 year,1 time a week,Web Search,I use it for navigation/GPS,Hobbyist/community,To edit,2 times per week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Apple Maps;Google Maps,,,4,5,5,5,5,3,5,3,5,5,5,5,3,5,5,Precise,Clear,Clear,Confusing,Simple,Simple,Complicated,Simple,More or less agree,More or less agree,More or less agree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,United Kingdom,I have little or no experience with GIS,Native,Yes,More than 10 years,2 times per week,Through a friend or family member,I use it for navigation/GPS,Humanitarian;Hobbyist/community;Dev,To see the rendered data;To check the history of edits and comments;To edit,1 time a week,Geographic database,1 time a month,1 time a month,No,,Organic Maps;Magic Earth,,,4,3,3,4,4,3,2,3,3,2,4,4,3,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Clear,Clear,Very Simple,Simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,More or less agree
Deutsch,Under 18 years old,Undergraduate or Bachelor's degree,Germany,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,More than once a day,Through a friend or family member,"I use it for navigation/GPS;I made a presentation about OSM in school, but i'm not using it regularly there. I customised a router to route my tractor at work, maybe that could be counted as ""i use it for work (Ich nutze sie für die Arbeit).",Hobbyist/community,"To see the rendered data;To check the history of edits and comments;solving of notes in whole germany, editing data but no bus and boarder relations. I could use the checkboxes, but there was one too less. Sometimes i even abloud GPX tracks (what some call GPS), but only if i need to add it to a note for a missing way, where it isn't visible in aerial imagery. I like micromapping and use online ""iD-Editor"" for most edits.",2 times per week,Geographic database,1 time per day,1 time per day,Yes,1 time a week,"OSMAnd;StreetComplete (also usable, although it's mainly build as a editor). [|] For questions 16 and 17, I'm not using notes every day, but when i use them I solve or create multiple of them, from 5 to 30[|]",GeoJSON / JSON / XML;cvx,Overpass Turbo,4,2,3,,,4,5,,,4,,,,4,,Precise,Neutral - Neither confusing nor clear,Very clear,Clear,Simple,Very Simple,Very Simple,Neutral - Neither complicated nor simple,More or less agree,Strongly agree,Strongly disagree
English (United Kingdom)‎,45-54 years old,Master's Degree,Germany,I have no experience with GIS or work,Advanced,Yes,1 to 5 years,2 times per week,Application that uses OSM data,I use it for navigation/GPS;to give others directions via a map,Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,1 time per day,Collaborative map,1 time a week,1 time a month,No,,Google Maps;OSMAnd,,,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3,Imprecise,Clear,Clear,Neutral - Neither confusing nor clear,Complicated,Neutral - Neither complicated nor simple,Simple,Simple,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,25-34 years old,High School,United States,Working with GIS,Native,Yes,Less than 1 year,1 time per day,I don't remember,I use it for navigation/GPS;I use it for work,Government;Hobbyist/community,To edit;To see the rendered data,1 time per day,Collaborative map,I can't remember or I don't use it,1 time a month,Yes,1 time a month,Google Maps,.OSM / .PBF,Directly in OSM.org;Overpass Turbo,4,3,3,5,5,5,5,5,3,4,5,5,4,3,5,Neutral - Neither imprecise nor precise,Clear,Clear,Neutral - Neither confusing nor clear,Very Simple,Simple,Simple,Neutral - Neither complicated nor simple,More or less agree,Strongly agree,More or less agree
Deutsch,25-34 years old,Master's Degree,Germany,Working with GIS,Advanced,Yes,More than 10 years,2 times per week,Through a friend or family member,I use it for navigation/GPS;I use it for work;I use it academically (school or college),Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,1 time per day,Wikipedia of maps,1 time a month,1 time a week,Yes,1 time a month,OSMAnd;Magic Earth,GeoJSON / JSON / XML;GPX,Overpass Turbo,4,3,3,,4,4,4,,5,4,4,,,4,4,Neutral - Neither imprecise nor precise,Confusing,Neutral - Neither confusing nor clear,Confusing,Simple,Simple,Complicated,Simple,Strongly agree,Neither agree nor disagree,Strongly disagree
Português (Brasil)‎,Under 18 years old,High School,Brazil,I have no experience with GIS or work,Basic,No,1 to 5 years,1 time a month ,Application that uses OSM data,I use it for navigation/GPS,Humanitarian;Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,2 times per week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps,,,5,4,4,5,4,,,,,3,,,,,,Precise,Clear,Clear,Clear,Simple,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
Français (France),18-24 years old,Undergraduate or Bachelor's degree,France,I have no experience with GIS or work,Advanced,Yes,1 to 5 years,2 times per week,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;Read diary entries,2 times per week,Geographic database,1 time a month,1 time a month,Yes,1 time a month,Organic Maps,JPG / PNG,Overpass Turbo,5,4,3,4,4,3,3,3,3,4,4,4,4,3,4,Precise,Neutral - Neither confusing nor clear,Clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Simple,Complicated,More or less agree,More or less agree,Strongly disagree
Italiano,65 years old or older,High School,Italy,Working with GIS,Basic,Yes,More than 10 years,More than once a day,Through a friend or family member,I use it for work,Hobbyist/community,To see the rendered data;To edit,1 time a week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a week,Google Maps,Shapefile;GeoJSON / JSON / XML,Overpass Turbo;Directly in OSM.org;GeoFabrik,3,3,,3,1,1,1,1,1,3,1,1,1,1,2,Very imprecise,Confusing,Confusing,Confusing,Neutral - Neither complicated nor simple,Complicated,Very Complicated,Neutral - Neither complicated nor simple,More or less agree,Strongly agree,Strongly agree
English (United Kingdom)‎,35-44 years old,Master's Degree,Sweden,Working with GIS,Advanced,Yes,More than 10 years,1 time per day,"Social Media (Facebook, X (Twitter), Instagram)",I use it for work;I use it for navigation/GPS,Government;Hobbyist/community,To see the rendered data;To edit,1 time a week,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,Google Maps,Shapefile;.OSM / .PBF,Directly in OSM.org;GeoFabrik;FME,4,3,4,4,4,4,3,4,3,4,3,3,3,2,3,Precise,Neutral - Neither confusing nor clear,Clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Complicated,Complicated,Complicated,More or less agree,Strongly agree,Neither agree nor disagree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,Romania,I have little or no experience with GIS,Advanced,Yes,5 to 10 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments,1 time per day,Collaborative map,2 times per week,1 time a month,No,,OSMAnd;Google Maps;Magic Earth;Waze,,,5,3,3,4,4,4,4,4,4,2,2,2,3,4,3,Neutral - Neither imprecise nor precise,Clear,Clear,Confusing,Simple,Simple,Neutral - Neither complicated nor simple,Simple,More or less agree,More or less agree,More or less agree
English (United Kingdom)‎,Under 18 years old,High School,Ukraine,I have no experience with GIS or work,Intermediary,Yes,1 to 5 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS;I use it academically (school or college),Hobbyist/community,To see the rendered data;To edit,1 time a month,Geographic database,I can't remember or I don't use it,1 time a month,Yes,1 time a month,Google Maps;OSMAnd,JPG / PNG,Overpass Turbo,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Neutral - Neither imprecise nor precise,Confusing,Confusing,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neither agree nor disagree,Neither agree nor disagree,More or less agree
